Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.02     0.00     4160     0.00     0.00  std::less<std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>*>::operator()(std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>*, std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>*) const
  0.00      0.02     0.00     4153     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_less(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&) const
  0.00      0.02     0.00     4147     0.00     0.00  bool std::__shared_ptr<std::filesystem::__cxx11::recursive_directory_iterator::_Dir_stack, (__gnu_cxx::_Lock_policy)2>::owner_before<std::filesystem::__cxx11::recursive_directory_iterator::_Dir_stack>(std::__shared_ptr<std::filesystem::__cxx11::recursive_directory_iterator::_Dir_stack, (__gnu_cxx::_Lock_policy)2> const&) const
  0.00      0.02     0.00     4129     0.00     0.00  std::filesystem::file_status::type() const
  0.00      0.02     0.00     4126     0.00     0.00  std::filesystem::__cxx11::operator==(std::filesystem::__cxx11::recursive_directory_iterator const&, std::filesystem::__cxx11::recursive_directory_iterator const&)
  0.00      0.02     0.00     4125     0.00     0.00  std::filesystem::is_regular_file(std::filesystem::__cxx11::path const&)
  0.00      0.02     0.00     4122     0.00     0.00  std::filesystem::__cxx11::directory_entry::operator std::filesystem::__cxx11::path const&() const
  0.00      0.02     0.00     4109     0.00     0.00  std::filesystem::__cxx11::operator!=(std::filesystem::__cxx11::recursive_directory_iterator const&, std::filesystem::__cxx11::recursive_directory_iterator const&)
  0.00      0.02     0.00     4100     0.00     0.00  std::filesystem::is_regular_file(std::filesystem::file_status)
  0.00      0.02     0.00     4083     0.00     0.00  std::filesystem::__cxx11::path::path(std::filesystem::__cxx11::path const&)
  0.00      0.02     0.00     4058     0.00     0.00  std::filesystem::__cxx11::operator/(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&)
  0.00      0.02     0.00     4058     0.00     0.00  std::__atomic_base<int>::operator++(int)
  0.00      0.02     0.00     4040     0.00     0.00  std::basic_ofstream<char, std::char_traits<char> >::basic_ofstream<std::filesystem::__cxx11::path, std::filesystem::__cxx11::path>(std::filesystem::__cxx11::path const&, std::_Ios_Openmode)
  0.00      0.02     0.00     4038     0.00     0.00  std::basic_ifstream<char, std::char_traits<char> >::basic_ifstream<std::filesystem::__cxx11::path, std::filesystem::__cxx11::path>(std::filesystem::__cxx11::path const&, std::_Ios_Openmode)
  0.00      0.02     0.00     4027     0.00     0.00  std::filesystem::__cxx11::directory_entry::path() const
  0.00      0.02     0.00      430     0.00     0.00  std::reference_wrapper<std::filesystem::__cxx11::path const>&& std::forward<std::reference_wrapper<std::filesystem::__cxx11::path const> >(std::remove_reference<std::reference_wrapper<std::filesystem::__cxx11::path const> >::type&)
  0.00      0.02     0.00      239     0.00     0.00  std::reference_wrapper<std::atomic<int> >&& std::forward<std::reference_wrapper<std::atomic<int> > >(std::remove_reference<std::reference_wrapper<std::atomic<int> > >::type&)
  0.00      0.02     0.00      131     0.00     0.00  void (&std::forward<void (&)(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&)>(std::remove_reference<void (&)(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&)>::type&))(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&)
  0.00      0.02     0.00       62     0.00     0.00  std::thread::id::id()
  0.00      0.02     0.00       61     0.00     0.00  std::thread* std::__addressof<std::thread>(std::thread&)
  0.00      0.02     0.00       61     0.00     0.00  std::remove_reference<std::tuple<void (*)(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&), std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::atomic<int> > >&>::type&& std::move<std::tuple<void (*)(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&), std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::atomic<int> > >&>(std::tuple<void (*)(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&), std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::atomic<int> > >&)
  0.00      0.02     0.00       54     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::base() const
  0.00      0.02     0.00       46     0.00     0.00  void (*&&std::forward<void (*)(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&)>(std::remove_reference<void (*)(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&)>::type&))(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&)
  0.00      0.02     0.00       45     0.00     0.00  std::remove_reference<std::thread::id&>::type&& std::move<std::thread::id&>(std::thread::id&)
  0.00      0.02     0.00       43     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::__normal_iterator(std::thread* const&)
  0.00      0.02     0.00       32     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::operator*() const
  0.00      0.02     0.00       32     0.00     0.00  std::reference_wrapper<std::filesystem::__cxx11::path const>::_S_fun(std::filesystem::__cxx11::path const&)
  0.00      0.02     0.00       32     0.00     0.00  std::reference_wrapper<std::filesystem::__cxx11::path const>::reference_wrapper<std::filesystem::__cxx11::path const&, void, std::filesystem::__cxx11::path const*>(std::filesystem::__cxx11::path const&)
  0.00      0.02     0.00       32     0.00     0.00  std::filesystem::__cxx11::path const* std::__addressof<std::filesystem::__cxx11::path const>(std::filesystem::__cxx11::path const&)
  0.00      0.02     0.00       32     0.00     0.00  std::reference_wrapper<std::filesystem::__cxx11::path const> std::cref<std::filesystem::__cxx11::path>(std::filesystem::__cxx11::path const&)
  0.00      0.02     0.00       32     0.00     0.00  std::filesystem::__cxx11::path const& std::forward<std::filesystem::__cxx11::path const&>(std::remove_reference<std::filesystem::__cxx11::path const&>::type&)
  0.00      0.02     0.00       31     0.00     0.00  std::reference_wrapper<std::filesystem::__cxx11::path const>::get() const
  0.00      0.02     0.00       31     0.00     0.00  std::thread::joinable() const
  0.00      0.02     0.00       31     0.00     0.00  std::_Head_base<0ul, std::thread::_State*, false>::_M_head(std::_Head_base<0ul, std::thread::_State*, false>&)
  0.00      0.02     0.00       31     0.00     0.00  std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_M_head(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.02     0.00       31     0.00     0.00  std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::_M_ptr()
  0.00      0.02     0.00       31     0.00     0.00  std::thread::~thread()
  0.00      0.02     0.00       31     0.00     0.00  std::thread::_State*& std::__get_helper<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.02     0.00       31     0.00     0.00  std::tuple_element<0ul, std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> > >::type& std::get<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.02     0.00       31     0.00     0.00  std::operator==(std::thread::id, std::thread::id)
  0.00      0.02     0.00       31     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.02     0.00       30     0.00     0.00  std::reference_wrapper<std::filesystem::__cxx11::path const>::operator std::filesystem::__cxx11::path const&() const
  0.00      0.02     0.00       30     0.00     0.00  std::thread* std::__niter_base<std::thread*>(std::thread*)
  0.00      0.02     0.00       30     0.00     0.00  std::thread&& std::forward<std::thread>(std::remove_reference<std::thread>::type&)
  0.00      0.02     0.00       29     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.00      0.02     0.00       28     0.00     0.00  std::filesystem::__cxx11::recursive_directory_iterator::recursive_directory_iterator(std::filesystem::__cxx11::recursive_directory_iterator const&)
  0.00      0.02     0.00       28     0.00     0.00  std::__shared_ptr<std::filesystem::__cxx11::recursive_directory_iterator::_Dir_stack, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<std::filesystem::__cxx11::recursive_directory_iterator::_Dir_stack, (__gnu_cxx::_Lock_policy)2> const&)
  0.00      0.02     0.00       28     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_add_ref_copy()
  0.00      0.02     0.00       21     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::end()
  0.00      0.02     0.00       20     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::size() const
  0.00      0.02     0.00       17     0.00     0.00  bool __gnu_cxx::operator!=<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >(__gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > > const&, __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > > const&)
  0.00      0.02     0.00       16     0.00     0.94  copy_directory_recursive(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&)
  0.00      0.02     0.00       16     0.00     0.00  void __gnu_cxx::new_allocator<std::thread>::construct<std::thread, void (&)(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&), std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::filesystem::__cxx11::path const>, std::reference_wrapper<std::atomic<int> > >(std::thread*, void (&)(std::filesystem::__cxx11::path const&, std::filesystem::__cxx11::path const&, std::atomic<int>&), std::reference_wrapper<std::filesystem::__cxx11::path const>&&, std::reference_wrapper<std::filesystem::__cxx11::path const>&&, std::reference_wrapper<std::atomic<int> >&&)
  0.00      0.02     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::operator++()
